Latitude,Longitude,ZoneType,Hour,Noise_dB,TrafficIndex,PM2.5
28.5689,77.164,Park,0,38.01,0.0,32.7
28.5689,77.164,Park,1,39.77,0.024,20.0
28.5689,77.164,Park,2,45.48,0.132,31.3
28.5689,77.164,Park,3,38.11,0.005,49.7
28.5689,77.164,Park,4,45.54,0.106,32.0
28.5689,77.164,Park,5,36.45,0.0,20.0
28.5689,77.164,Park,6,48.84,0.145,25.8
28.5689,77.164,Park,7,51.55,0.104,56.5
28.5689,77.164,Park,8,38.29,0.0,32.5
28.5689,77.164,Park,9,45.77,0.043,38.3
28.5689,77.164,Park,10,51.9,0.215,40.2
28.5689,77.164,Park,11,45.31,0.114,32.6
28.5689,77.164,Park,12,41.27,0.028,26.0
28.5689,77.164,Park,13,45.75,0.065,35.5
28.5689,77.164,Park,14,45.83,0.159,31.8
28.5689,77.164,Park,15,41.47,0.085,30.9
28.5689,77.164,Park,16,48.6,0.172,28.6
28.5689,77.164,Park,17,40.93,0.037,41.2
28.5689,77.164,Park,18,50.17,0.165,59.2
28.5689,77.164,Park,19,44.95,0.067,37.0
28.5689,77.164,Park,20,35.46,0.079,30.1
28.5689,77.164,Park,21,43.88,0.014,29.1
28.5689,77.164,Park,22,46.22,0.161,31.0
28.5689,77.164,Park,23,48.98,0.094,44.8
28.5689,77.16873684210526,MainRoad,0,56.51,0.247,49.7
28.5689,77.16873684210526,MainRoad,1,63.42,0.36,77.4
28.5689,77.16873684210526,MainRoad,2,71.34,0.469,36.4
28.5689,77.16873684210526,MainRoad,3,93.1,0.887,75.6
28.5689,77.16873684210526,MainRoad,4,61.07,0.352,67.6
28.5689,77.16873684210526,MainRoad,5,66.17,0.415,37.3
28.5689,77.16873684210526,MainRoad,6,100.0,1.0,91.5
28.5689,77.16873684210526,MainRoad,7,94.4,0.855,79.4
28.5689,77.16873684210526,MainRoad,8,85.7,0.756,63.0
28.5689,77.16873684210526,MainRoad,9,78.86,0.727,71.7
28.5689,77.16873684210526,MainRoad,10,74.23,0.596,58.8
28.5689,77.16873684210526,MainRoad,11,87.93,0.848,57.2
28.5689,77.16873684210526,MainRoad,12,79.75,0.69,64.5
28.5689,77.16873684210526,MainRoad,13,87.32,0.827,57.4
28.5689,77.16873684210526,MainRoad,14,73.2,0.49,65.8
28.5689,77.16873684210526,MainRoad,15,82.97,0.717,71.2
28.5689,77.16873684210526,MainRoad,16,86.57,0.842,67.2
28.5689,77.16873684210526,MainRoad,17,95.94,0.93,64.0
28.5689,77.16873684210526,MainRoad,18,85.25,0.839,60.5
28.5689,77.16873684210526,MainRoad,19,100.0,0.994,78.1
28.5689,77.16873684210526,MainRoad,20,82.07,0.707,62.4
28.5689,77.16873684210526,MainRoad,21,80.17,0.679,57.6
28.5689,77.16873684210526,MainRoad,22,78.23,0.741,48.9
28.5689,77.16873684210526,MainRoad,23,66.31,0.366,52.9
28.5689,77.17347368421053,MainRoad,0,76.28,0.661,54.6
28.5689,77.17347368421053,MainRoad,1,74.79,0.601,72.0
28.5689,77.17347368421053,MainRoad,2,72.08,0.585,51.3
28.5689,77.17347368421053,MainRoad,3,80.72,0.684,64.0
28.5689,77.17347368421053,MainRoad,4,61.05,0.379,41.3
28.5689,77.17347368421053,MainRoad,5,67.57,0.501,66.1
28.5689,77.17347368421053,MainRoad,6,87.74,0.819,76.1
28.5689,77.17347368421053,MainRoad,7,82.16,0.783,81.1
28.5689,77.17347368421053,MainRoad,8,80.4,0.547,63.7
28.5689,77.17347368421053,MainRoad,9,87.89,0.75,52.3
28.5689,77.17347368421053,MainRoad,10,78.69,0.767,74.4
28.5689,77.17347368421053,MainRoad,11,83.91,0.698,79.0
28.5689,77.17347368421053,MainRoad,12,66.07,0.448,63.1
28.5689,77.17347368421053,MainRoad,13,74.81,0.557,56.6
28.5689,77.17347368421053,MainRoad,14,100.0,1.0,82.5
28.5689,77.17347368421053,MainRoad,15,82.79,0.738,69.4
28.5689,77.17347368421053,MainRoad,16,74.3,0.472,21.5
28.5689,77.17347368421053,MainRoad,17,100.0,1.0,105.0
28.5689,77.17347368421053,MainRoad,18,100.0,1.0,72.0
28.5689,77.17347368421053,MainRoad,19,86.46,0.777,70.0
28.5689,77.17347368421053,MainRoad,20,84.83,0.649,61.3
28.5689,77.17347368421053,MainRoad,21,77.75,0.651,78.7
28.5689,77.17347368421053,MainRoad,22,53.58,0.245,42.3
28.5689,77.17347368421053,MainRoad,23,81.24,0.676,54.7
28.5689,77.1782105263158,Market,0,54.69,0.268,41.0
28.5689,77.1782105263158,Market,1,68.34,0.48,68.0
28.5689,77.1782105263158,Market,2,57.75,0.223,47.6
28.5689,77.1782105263158,Market,3,69.7,0.509,56.3
28.5689,77.1782105263158,Market,4,61.03,0.289,37.7
28.5689,77.1782105263158,Market,5,56.65,0.258,41.7
28.5689,77.1782105263158,Market,6,70.43,0.627,52.7
